title;link;numero_offre;location;description;company;note;salary;publication_date;date_actualisation;latitude;longitude;duration_contrat
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172679306W;172679306W;Cluses - 74;In line with our 2030 ambition and the digitalization of our business models, we are recruiting within the Data Excellence team a Data Analyst. You will participate (depending on your competencies) in projects and/or activities aiming to implement Group Databases and to maintain ...;SOMFY ACTIVITES SA;39.810486;A négocier;2023-12-21T09:56:01.000+0000;2023-12-21T09:56:01.000+0000;0;0;0
Data Scientist F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172620622W;172620622W;Toulouse - 31;Nous recherchons un(e) Data Scientist(H/F) pour rejoindre nos équipes.    Votre rôle consistera à développer des modèles, effectuer des tests unitaires, participer aux phases de test et de mise en service, rédiger de la documentation technique, et communiquer efficacement avec le...;MP DATA;39.809185;A partir de 40 k€ brut annuel;2023-12-18T11:13:04.000+0000;2023-12-18T11:13:04.000+0000;('43.596013',);('1.4321019',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172753637W;172753637W;Nice - 06;Au sein de Quantilia, vous intégrerez l'équipe Data Science du pôle de Recherche &  Développement, dont la mission est d'assurer le développement et la maintenance du  logiciel sur la base de la roadmap déterminée conjointement avec l'équipe Produit. Le  pôle R&D se divise en tro...;Hellowork;39.781822;36 - 44 k€ brut annuel;2024-01-05T00:52:30.000+0000;2024-01-05T00:52:30.000+0000;0;0;0
Data analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172760810W;172760810W;Paris 09 - 75;Votre rôle Intégré à l'équipe Data avec des personnes expérimentées, tu contribueras à travailler sur une stratégie d'analyse de données évolutive et efficace qui répond aux besoins de nos équipes internes. mais aussi à ceux de nos patients . Une collaboration étroite avec ton Im...;Qare;39.750122;A négocier;2024-01-05T16:37:59.000+0000;2024-01-05T16:37:59.000+0000;('48.8771639',);('2.3374635',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172697993W;172697993W;Paris 01 - 75;Notre partenaire, élu parmi les meilleures sociétés de conseil et entreprise à plus forte croissance, est à la recherche de Data Analyst pour rejoindre ses équipes. Cette jeune société (10 ans d'existence), composée d'une 100aine de collaborateurs, est dotée d'une véritable commu...;FRANK CONSULTING SERVICES;39.67095;45 - 60 k€ brut annuel;2023-12-23T17:21:01.000+0000;2023-12-23T17:21:01.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172695640W;172695640W;Nanterre - 92;Directement rattaché au Manager Technique, le Data Analyst F/H a pour rôle de contrôler, d analyser, de développer et de maintenir la données à destination des équipes business.     Vos principales responsabilités seront de :  Identifier et corriger les problèmes de qualité des d...;FYTE;39.647213;A négocier;2023-12-22T18:29:34.000+0000;2023-12-22T18:29:34.000+0000;('48.896167',);('2.2070554',);6
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171946508W;171946508W;Rennes - 35;Contexte :  Dans le cadre du renfort de ses activités de recherche et développement dans les domaines de la sécurité informatique et de la Cyberdéfense, les divisions Cyber de la Direction Générale de l'Armement, site de Bruz (près de Rennes), recrutent un ou une ingénieur chargé...;DGA DRH CPP FDCO;39.647213;34 - 50 k€ brut annuel;2023-12-08T17:25:21.000+0000;2023-12-08T17:25:21.000+0000;('48.1116777',);('-1.6818562',);0
Data Scientist F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172278095W;172278095W;Fontenay-sous-Bois - 94;En tant que Data Scientist, vos missions sont :  Concevoir des modélisations statistiques et des algorithmes pour exploiter les données.  Impulser des démarches innovantes sur des segments à fortes valeurs ajoutées.  Elaborer des modèles prédictifs afin d anticiper l'évolution de...;Kaisens data;39.577713;30 - 56 k€ brut annuel;2024-01-04T10:33:06.000+0000;2024-01-04T10:33:06.000+0000;('48.854042',);('2.487991',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172757109W;172757109W;Paris 02 - 75;NEXTON recrute un DATA ANALYST H/F , en CDI , à Paris !    Qui sommes-nous ?     NEXTON c'est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP P...;NEXTON CONSULTING;39.558266;A négocier;2024-01-05T09:34:20.000+0000;2024-01-05T09:34:20.000+0000;('48.8682774',);('2.3427972',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172714664W;172714664W;Saint-Ouen - 93;"Les missions du Data Analyst sont variées : Recueil et extraction des sources de données pertinentes et de qualité qu'il traduit ensuite en données statistiques ; Traitement, exploitation et intégration des données dans un data warehouse (entrepôt de données) ; Création de dashbo...";Hellowork;39.53057;A négocier;2023-12-28T00:52:06.000+0000;2023-12-28T00:52:06.000+0000;('48.9096032',);('2.3334701',);0
